,index,name,year,year_prod,cum,investmentMillNOK,recoverable_oil,remaining_oil,oil_price_nom,oil_price_real,oil_price_real_l1,oil_price_real_l2,oil_price_real_l3,oil_price_real_l4,oil_price_real_l5,oil_price_real_l6,oil_price_real_l7,oil_price_real_l8,diff_oil_price,pos_price_diff,neg_price_diff,diff_oil_price_3yr,pos_diff_3yr,neg_diff_3yr,deflator,bond_index,init_year,tot.prod,producing_from,producing_to,approved_at,shutdown,investmentMillNOK_real,maxyear,producing_time,time_to_peak
70,79,ÅSGARD,2000,7.8373800000000005,11.73824,5818.0,102.4,17.5,28.495449199999996,3.7992939393872,2.4764838189755,1.7910672309393,2.7311797722586,3.0244492834351,2.5636007605261004,2.4504457935416997,2.6965988806331,3.1617592005277,1.3228101204117,13.228101204117,1e-07,10.681141671286,10.681141671286,1e-06,0.7340292758499999,1089.13,1999,95.68156,1999-05-19 00:00:00,,1996-06-14,,7926.11438183144,2001,1,2
71,80,ÅSGARD,2001,8.31997,20.05821,2179.0,102.4,17.5,24.443891100000002,3.1689275738077,3.7992939393872,2.4764838189755,1.7910672309393,2.7311797722586,3.0244492834351,2.5636007605261004,2.4504457935416997,2.6965988806331,-0.6303663655795,1e-07,6.303663655795,13.778603428684,13.778603428684,1e-06,0.75789533722,1205.7,1999,95.68156,1999-05-19 00:00:00,,1996-06-14,,2875.06716691606,2001,2,2
72,81,ÅSGARD,2002,8.23173,28.28994,1018.0,102.4,17.5,25.0232558,3.19354607679,3.1689275738077,3.7992939393872,2.4764838189755,1.7910672309393,2.7311797722586,3.0244492834351,2.5636007605261004,2.4504457935416997,0.0246185029823,0.24618502982299997,1e-07,7.170622578145,7.170622578145,1e-06,0.75298305701,1328.32,1999,95.68156,1999-05-19 00:00:00,,1996-06-14,,1351.95605070099,2001,3,2
73,82,ÅSGARD,2003,6.9437,35.23364,590.0,102.4,17.5,28.8307031,3.5974763301854997,3.19354607679,3.1689275738077,3.7992939393872,2.4764838189755,1.7910672309393,2.7311797722586,3.0244492834351,2.5636007605261004,0.40393025339550004,4.039302533955,1e-07,-2.018176092017,1e-06,2.018176092017,0.7550497453899999,1438.7,1999,95.68156,1999-05-19 00:00:00,,1996-06-14,,781.4054684506269,2001,4,2
74,83,ÅSGARD,2004,5.65808,40.89172,1804.0,102.4,17.5,38.265,4.650828168342999,3.5974763301854997,3.19354607679,3.1689275738077,3.7992939393872,2.4764838189755,1.7910672309393,2.7311797722586,3.0244492834351,1.0533518381575,10.533518381575,1e-07,14.819005945353,14.819005945353,1e-06,0.78327904719,1516.6,1999,95.68156,1999-05-19 00:00:00,,1996-06-14,,2303.13833425242,2001,5,2
75,84,ÅSGARD,2005,4.63704,45.52876,1171.0,102.4,17.5,54.5210895,6.409480298342499,4.650828168342999,3.5974763301854997,3.19354607679,3.1689275738077,3.7992939393872,2.4764838189755,1.7910672309393,2.7311797722586,1.7586521299995,17.586521299995,1e-07,32.159342215525,32.159342215525,1e-06,0.8131569091399999,1546.51,1999,95.68156,1999-05-19 00:00:00,,1996-06-14,,1440.0664703672699,2001,6,2
76,85,ÅSGARD,2006,4.83622,50.364979999999996,1635.0,102.4,17.5,65.1440625,7.418991014694899,6.409480298342499,4.650828168342999,3.5974763301854997,3.19354607679,3.1689275738077,3.7992939393872,2.4764838189755,1.7910672309393,1.0095107163524,10.095107163524,1e-07,38.215146845094,38.215146845094,1e-06,0.8528632903,1614.19,1999,95.68156,1999-05-19 00:00:00,,1996-06-14,,1917.07160877434,2001,7,2
77,86,ÅSGARD,2007,6.79329,57.158269999999995,2087.0,102.4,17.5,72.38907840000002,8.0157894040617,7.418991014694899,6.409480298342499,4.650828168342999,3.5974763301854997,3.19354607679,3.1689275738077,3.7992939393872,2.4764838189755,0.596798389366799,5.96798389366799,1e-07,33.649612357186996,33.649612357186996,1e-06,0.90803283064,1689.14,1999,95.68156,1999-05-19 00:00:00,,1996-06-14,,2298.37504722053,2001,8,2
78,87,ÅSGARD,2008,5.94875,63.10702,2253.0,102.4,17.5,97.2559728,10.371145696549998,8.0157894040617,7.418991014694899,6.409480298342499,4.650828168342999,3.5974763301854997,3.19354607679,3.1689275738077,3.7992939393872,2.3553562924883,23.553562924883,1e-07,39.616653982075,39.616653982075,1e-06,0.95725840904,1573.98,1999,95.68156,1999-05-19 00:00:00,,1996-06-14,,2353.59645705223,2001,9,2
79,88,ÅSGARD,2009,5.72933,68.83635,2995.0,102.4,17.5,61.671264799999996,6.599958221887699,10.371145696549998,8.0157894040617,7.418991014694899,6.409480298342499,4.650828168342999,3.5974763301854997,3.19354607679,3.1689275738077,-3.7711874746623004,1e-07,37.711874746623,-8.19032792807201,1e-06,8.19032792807201,0.9833487352600001,1885.0,1999,95.68156,1999-05-19 00:00:00,,1996-06-14,,3045.71500690252,2001,10,2
