"","name","year","year_prod","cum","investmentMillNOK","recoverable_oil","remaining_oil","oil_price_nom","oil_price_real","oil_price_real_l1","oil_price_real_l2","oil_price_real_l3","oil_price_real_l4","oil_price_real_l5","oil_price_real_l6","oil_price_real_l7","oil_price_real_l8","diff_oil_price","pos_price_diff","neg_price_diff","diff_oil_price_3yr","pos_diff_3yr","neg_diff_3yr","deflator","bond_index","init_year","tot.prod","producing_from","producing_to","approved_at","shutdown","investmentMillNOK_real"
"51","ALBUSKJELL",1999,NA,NA,0,7.4,0,17.9700778,24.764838189755,17.910672309393,27.311797722586,30.244492834351,25.636007605261,24.504457935417,26.965988806331,31.617592005277,33.719950232076,6.854165880362,6.854165880362,1e-07,-5.479654644596,1e-06,5.479654644596,0.70720812024,997.97,1974,7.35406,1979-05-26,1998-08-26,1975-04-25,1998-08-26,0
"50","ALBUSKJELL",2000,NA,NA,0,7.4,0,28.4954492,37.992939393872,24.764838189755,17.910672309393,27.311797722586,30.244492834351,25.636007605261,24.504457935417,26.965988806331,31.617592005277,13.228101204117,13.228101204117,1e-07,10.681141671286,10.681141671286,1e-06,0.73402927585,1089.13,1974,7.35406,1979-05-26,1998-08-26,1975-04-25,1998-08-26,0
"39","ALBUSKJELL",2001,NA,NA,0,7.4,0,24.4438911,31.689275738077,37.992939393872,24.764838189755,17.910672309393,27.311797722586,30.244492834351,25.636007605261,24.504457935417,26.965988806331,-6.303663655795,1e-07,6.303663655795,13.778603428684,13.778603428684,1e-06,0.75789533722,1205.7,1974,7.35406,1979-05-26,1998-08-26,1975-04-25,1998-08-26,0
"48","ALBUSKJELL",2002,NA,NA,0,7.4,0,25.0232558,31.9354607679,31.689275738077,37.992939393872,24.764838189755,17.910672309393,27.311797722586,30.244492834351,25.636007605261,24.504457935417,0.246185029823,0.246185029823,1e-07,7.170622578145,7.170622578145,1e-06,0.75298305701,1328.32,1974,7.35406,1979-05-26,1998-08-26,1975-04-25,1998-08-26,0
"46","ALBUSKJELL",2003,NA,NA,0,7.4,0,28.8307031,35.974763301855,31.9354607679,31.689275738077,37.992939393872,24.764838189755,17.910672309393,27.311797722586,30.244492834351,25.636007605261,4.039302533955,4.039302533955,1e-07,-2.018176092017,1e-06,2.018176092017,0.75504974539,1438.7,1974,7.35406,1979-05-26,1998-08-26,1975-04-25,1998-08-26,0
"32","ALBUSKJELL",2004,NA,NA,0,7.4,0,38.265,46.50828168343,35.974763301855,31.9354607679,31.689275738077,37.992939393872,24.764838189755,17.910672309393,27.311797722586,30.244492834351,10.533518381575,10.533518381575,1e-07,14.819005945353,14.819005945353,1e-06,0.78327904719,1516.6,1974,7.35406,1979-05-26,1998-08-26,1975-04-25,1998-08-26,0
"27","ALBUSKJELL",2005,NA,NA,0,7.4,0,54.5210895,64.094802983425,46.50828168343,35.974763301855,31.9354607679,31.689275738077,37.992939393872,24.764838189755,17.910672309393,27.311797722586,17.586521299995,17.586521299995,1e-07,32.159342215525,32.159342215525,1e-06,0.81315690914,1546.51,1974,7.35406,1979-05-26,1998-08-26,1975-04-25,1998-08-26,0
"22","ALBUSKJELL",2006,NA,NA,0,7.4,0,65.1440625,74.189910146949,64.094802983425,46.50828168343,35.974763301855,31.9354607679,31.689275738077,37.992939393872,24.764838189755,17.910672309393,10.095107163524,10.095107163524,1e-07,38.215146845094,38.215146845094,1e-06,0.8528632903,1614.19,1974,7.35406,1979-05-26,1998-08-26,1975-04-25,1998-08-26,0
"14","ALBUSKJELL",2007,NA,NA,0,7.4,0,72.3890784,80.157894040617,74.189910146949,64.094802983425,46.50828168343,35.974763301855,31.9354607679,31.689275738077,37.992939393872,24.764838189755,5.96798389366799,5.96798389366799,1e-07,33.649612357187,33.649612357187,1e-06,0.90803283064,1689.14,1974,7.35406,1979-05-26,1998-08-26,1975-04-25,1998-08-26,0
"20","ALBUSKJELL",2008,NA,NA,0,7.4,0,97.2559728,103.7114569655,80.157894040617,74.189910146949,64.094802983425,46.50828168343,35.974763301855,31.9354607679,31.689275738077,37.992939393872,23.553562924883,23.553562924883,1e-07,39.616653982075,39.616653982075,1e-06,0.95725840904,1573.98,1974,7.35406,1979-05-26,1998-08-26,1975-04-25,1998-08-26,0
