"","X","name","year","year_prod","cum","investmentMillNOK","lon","lat","recoverable_oil","remaining_oil","oil_price_nom","oil_price_real","oil_price_real_l1","oil_price_real_l2","oil_price_real_l3","oil_price_real_l4","oil_price_real_l5","oil_price_real_l6","oil_price_real_l7","oil_price_real_l8","diff_oil_price","pos_price_diff","neg_price_diff","diff_oil_price_3yr","pos_diff_3yr","neg_diff_3yr","deflator","bond_index","init_year","tot.prod","producing_from","producing_to","approved_at","shutdown","investmentMillNOK_real","total.oil","total.invest"
"733",739,"JOTUN",1995,NA,NA,0,2.3253483482171,59.4295393891195,23.4,0.7,17.0166797,24.347697563407,23.273012707498,25.610841986956,30.028683860653,32.025390331653,39.583454256594,32.050914207619,27.508311291084,35.386187952521,1.074684855909,1.074684855909,1e-07,-5.680986297246,1e-06,5.680986297246,0.66338741206,819.75,1995,22.8553,"1999-10-25",NA,"1997-06-10",NA,0,22.8553,9484
"752",757,"KNARR",2011,NA,NA,534,2.78142112046222,61.8011422055356,11.9,11.9,111.264166666667,111.264166666667,79.4955336,62.682844065261,98.499549030328,76.129645125399,70.461575855655,60.873787465499,44.17105791424,34.166890191161,31.7686330666667,31.7686330666667,1e-07,12.7646176363387,12.7646176363387,1e-06,1.03495856434,2219.45,2011,0,NA,NA,"2011-06-09",NA,515.962685269951,0,534
"755",760,"KRISTIN",2001,NA,NA,158,6.43301055953097,64.9713900880739,22.9,6,24.4438911,30.096765204413,36.083645010193,23.520307831673,17.010590699656,25.939272647352,28.724588314534,24.347697563407,23.273012707498,25.610841986956,-5.98687980578,1e-07,5.98687980578,13.086174504757,13.086174504757,1e-06,0.75789533722,1205.7,2001,17.63194,"2005-11-03",NA,"2001-12-17",NA,208.472057077897,17.63194,24467
"768",778,"KVITEBJØRN",2000,NA,NA,385,2.50995850982246,61.0922584663508,27.3,9.8,28.4954492,36.083645010193,23.520307831673,17.010590699656,25.939272647352,28.724588314534,24.347697563407,23.273012707498,25.610841986956,30.028683860653,12.56333717852,12.56333717852,1e-07,10.144372362841,10.144372362841,1e-06,0.73402927585,1089.13,2000,19.39649,"2004-09-26",NA,"2000-06-14",NA,524.502240805277,19.39649,13707
"782",796,"LILLE-FRIGG",1991,NA,NA,97,2.38201166227233,59.9561654525893,1.3,0,20.0033852,32.025390331653,39.583454256594,32.050914207619,27.508311291084,35.386187952521,28.709380291971,55.851518215613,60.40088238691,64.694325301205,-7.558063924941,1e-07,7.558063924941,4.517079040569,4.517079040569,1e-06,0.62105428404,568.73,1991,1.32571,"1994-05-13","1999-03-25","1991-09-06","1999-03-25",156.186025107191,1.32571,3923
"802",806,"MARTIN LINGE",2006,NA,NA,75,2.05454497402892,60.5082369192653,6,6,65.1440625,70.461575855655,60.873787465499,44.17105791424,34.166890191161,30.330578469843,30.096765204413,36.083645010193,23.520307831673,17.010590699656,9.587788390156,9.587788390156,1e-07,36.294685664494,36.294685664494,1e-06,0.8528632903,1614.19,2006,0,NA,NA,"2012-06-11",NA,87.9390646226763,0,402
"808",812,"MARULK",2009,NA,NA,38,7.58652224143555,65.9524994692395,0.7,0.6,61.6712648,62.682844065261,98.499549030328,76.129645125399,70.461575855655,60.873787465499,44.17105791424,34.166890191161,30.330578469843,30.096765204413,-35.816704965067,1e-07,35.816704965067,-7.778731790394,1e-06,7.778731790394,0.98334873526,1885,2009,0.06658,"2012-04-02",NA,"2010-07-15",NA,38.6434625249736,0.06658,2173
"813",817,"MIKKEL",2001,NA,NA,339,7.66905637481402,64.6801684962796,6.6,3.3,24.4438911,30.096765204413,36.083645010193,23.520307831673,17.010590699656,25.939272647352,28.724588314534,24.347697563407,23.273012707498,25.610841986956,-5.98687980578,1e-07,5.98687980578,13.086174504757,13.086174504757,1e-06,0.75789533722,1205.7,2001,3.51059,"2003-08-01",NA,"2001-09-14",NA,447.29131233802,3.51059,2182
"826",835,"MIME",1989,NA,NA,60,2.4949981150826,57.1269342418919,0.4,0,18.2261133,32.050914207619,27.508311291084,35.386187952521,28.709380291971,55.851518215613,60.40088238691,64.694325301205,74.500583626943,86.190891969197,4.542602916535,4.542602916535,1e-07,3.341533915648,3.341533915648,1e-06,0.62060750447,447.98,1989,0.37478,"1993-01-01","1993-11-03","1992-11-06","1993-11-04",96.679462571501,0.37478,324
"832",836,"MORVIN",2007,NA,NA,409,6.46043363192758,65.1532217797269,9.3,5.6,72.3890784,76.129645125399,70.461575855655,60.873787465499,44.17105791424,34.166890191161,30.330578469843,30.096765204413,36.083645010193,23.520307831673,5.668069269744,5.668069269744,1e-07,31.958587211159,31.958587211159,1e-06,0.90803283064,1689.14,2007,4.87498,"2010-08-01",NA,"2008-04-25",NA,450.424242603352,4.87498,7994
"839",870,"MURCHISON",1974,NA,NA,22,1.74417863169497,61.4013323284811,13.9,0,11.58,51.2340452592,16.1487694424,12.9300230208,12.0450645504,10.102970592,10.699571808,11.276547984,11.747548944,12.08902464,35.0852758168,35.0852758168,1e-07,39.1889807088,39.1889807088,1e-06,0.18944916643,97.16,1974,13.85589,"1980-09-28",NA,"1976-12-15",NA,116.126137763339,13.85589,2597
"879",891,"NJORD",1995,NA,NA,829,7.08596848060186,64.2836934657722,28.5,3,17.0166797,24.347697563407,23.273012707498,25.610841986956,30.028683860653,32.025390331653,39.583454256594,32.050914207619,27.508311291084,35.386187952521,1.074684855909,1.074684855909,1e-07,-5.680986297246,1e-06,5.680986297246,0.66338741206,819.75,1995,25.81499,"1997-09-30",NA,"1995-06-12",NA,1249.64686535991,25.81499,14888
"898",906,"NORDØST FRIGG",1982,NA,NA,1143,2.27302567518366,60.0051447349811,0,0,32.97,74.500583626943,86.190891969197,97.463622330097,94.941462258953,46.888728834356,50.0527486848,49.039922176,46.7387117912,51.2340452592,-11.690308342254,1e-07,11.690308342254,-20.44087863201,1e-06,20.44087863201,0.38480464028,189.62,1982,0,"1983-12-01","1993-05-08","1980-09-12","1993-05-08",2970.33840124252,0,1816
