"","name","year","year_prod","cum","investmentMillNOK","lon","lat","recoverable_oil","remaining_oil","oil_price_nom","oil_price_real","oil_price_real_l1","oil_price_real_l2","oil_price_real_l3","oil_price_real_l4","oil_price_real_l5","oil_price_real_l6","oil_price_real_l7","oil_price_real_l8","diff_oil_price","pos_price_diff","neg_price_diff","diff_oil_price_3yr","pos_diff_3yr","neg_diff_3yr","deflator","bond_index","init_year","tot.prod","producing_from","producing_to","approved_at","shutdown","investmentMillNOK_real"
"20","ALBUSKJELL",1999,NA,NA,0,2.99301856064265,56.6307886616647,7.4,0,17.9700778,23.520307831673,17.010590699656,25.939272647352,28.724588314534,24.347697563407,23.273012707498,25.610841986956,30.028683860653,32.025390331653,6.509717132017,6.509717132017,1e-07,-5.204280482861,1e-06,5.204280482861,0.70720812024,997.97,1974,7.35406,1979-05-26,1998-08-26,1975-04-25,1998-08-26,0
"25","ALBUSKJELL",2000,NA,NA,0,2.99301856064265,56.6307886616647,7.4,0,28.4954492,36.083645010193,23.520307831673,17.010590699656,25.939272647352,28.724588314534,24.347697563407,23.273012707498,25.610841986956,30.028683860653,12.56333717852,12.56333717852,1e-07,10.144372362841,10.144372362841,1e-06,0.73402927585,1089.13,1974,7.35406,1979-05-26,1998-08-26,1975-04-25,1998-08-26,0
"11","ALBUSKJELL",2001,NA,NA,0,2.99301856064265,56.6307886616647,7.4,0,24.4438911,30.096765204413,36.083645010193,23.520307831673,17.010590699656,25.939272647352,28.724588314534,24.347697563407,23.273012707498,25.610841986956,-5.98687980578,1e-07,5.98687980578,13.086174504757,13.086174504757,1e-06,0.75789533722,1205.7,1974,7.35406,1979-05-26,1998-08-26,1975-04-25,1998-08-26,0
"8","ALBUSKJELL",2002,NA,NA,0,2.99301856064265,56.6307886616647,7.4,0,25.0232558,30.330578469843,30.096765204413,36.083645010193,23.520307831673,17.010590699656,25.939272647352,28.724588314534,24.347697563407,23.273012707498,0.233813265430001,0.233813265430001,1e-07,6.81027063817,6.81027063817,1e-06,0.75298305701,1328.32,1974,7.35406,1979-05-26,1998-08-26,1975-04-25,1998-08-26,0
"22","ALBUSKJELL",2003,NA,NA,0,2.99301856064265,56.6307886616647,7.4,0,28.8307031,34.166890191161,30.330578469843,30.096765204413,36.083645010193,23.520307831673,17.010590699656,25.939272647352,28.724588314534,24.347697563407,3.836311721318,3.836311721318,1e-07,-1.916754819032,1e-06,1.916754819032,0.75504974539,1438.7,1974,7.35406,1979-05-26,1998-08-26,1975-04-25,1998-08-26,0
"44","ALBUSKJELL",2004,NA,NA,0,2.99301856064265,56.6307886616647,7.4,0,38.265,44.17105791424,34.166890191161,30.330578469843,30.096765204413,36.083645010193,23.520307831673,17.010590699656,25.939272647352,28.724588314534,10.004167723079,10.004167723079,1e-07,14.074292709827,14.074292709827,1e-06,0.78327904719,1516.6,1974,7.35406,1979-05-26,1998-08-26,1975-04-25,1998-08-26,0
"21","ALBUSKJELL",2005,NA,NA,0,2.99301856064265,56.6307886616647,7.4,0,54.5210895,60.873787465499,44.17105791424,34.166890191161,30.330578469843,30.096765204413,36.083645010193,23.520307831673,17.010590699656,25.939272647352,16.702729551259,16.702729551259,1e-07,30.543208995656,30.543208995656,1e-06,0.81315690914,1546.51,1974,7.35406,1979-05-26,1998-08-26,1975-04-25,1998-08-26,0
"36","ALBUSKJELL",2006,NA,NA,0,2.99301856064265,56.6307886616647,7.4,0,65.1440625,70.461575855655,60.873787465499,44.17105791424,34.166890191161,30.330578469843,30.096765204413,36.083645010193,23.520307831673,17.010590699656,9.587788390156,9.587788390156,1e-07,36.294685664494,36.294685664494,1e-06,0.8528632903,1614.19,1974,7.35406,1979-05-26,1998-08-26,1975-04-25,1998-08-26,0
"19","ALBUSKJELL",2007,NA,NA,0,2.99301856064265,56.6307886616647,7.4,0,72.3890784,76.129645125399,70.461575855655,60.873787465499,44.17105791424,34.166890191161,30.330578469843,30.096765204413,36.083645010193,23.520307831673,5.668069269744,5.668069269744,1e-07,31.958587211159,31.958587211159,1e-06,0.90803283064,1689.14,1974,7.35406,1979-05-26,1998-08-26,1975-04-25,1998-08-26,0
"26","ALBUSKJELL",2008,NA,NA,0,2.99301856064265,56.6307886616647,7.4,0,97.2559728,98.499549030328,76.129645125399,70.461575855655,60.873787465499,44.17105791424,34.166890191161,30.330578469843,30.096765204413,36.083645010193,22.369903904929,22.369903904929,1e-07,37.625761564829,37.625761564829,1e-06,0.95725840904,1573.98,1974,7.35406,1979-05-26,1998-08-26,1975-04-25,1998-08-26,0
